init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.0006,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,0.0006,60.7671,y,60.7421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,60.7673,279.3695,space,218.5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,279.3752,280.3717,280.3719,280.869,280.8692,281.1212,281.1214,61,61,287.5032,space,6.3544,,287.5033,300.7206,space,13.1832,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,300.7329,301.7362,301.7364,302.2386,302.2386,302.4718,302.4718,158,158,307.1879,space,4.7084,,307.188,311.4886,space,4.2795,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,311.4987,312.4888,312.4888,312.9853,312.9854,313.2356,313.2356,169,169,319.4555,space,6.2099,,319.4555,323.319,space,3.8493,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,323.3304,324.3206,324.3207,324.82,324.82,325.0732,325.0733,151,151,327.1551,space,2.0663,,327.1551,329.7883,space,2.6202,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,329.7887,330.7876,330.7877,331.2872,331.2873,331.538,331.5381,38,38,334.2545,space,2.701,,334.2545,336.2551,space,1.9835,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,336.2556,337.2543,337.2543,337.7519,337.7519,338.0057,338.0057,119,119,342.7219,space,4.7001,,342.722,343.8898,space,1.1409,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,343.8904,344.8879,344.888,345.3896,345.3896,345.6389,345.6389,179,-1,347.2885,space,1.64,,347.2885,348.6373,space,1.3352,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,348.6376,349.6378,349.6378,350.1384,350.1385,350.3883,350.3884,130,130,358.7386,space,8.3365,,358.7388,359.9379,space,1.1774,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,359.9384,360.9386,360.9387,361.4363,361.4363,361.6875,361.6875,87,87,365.2392,space,3.5342,,365.2393,366.6397,space,1.3693,,0,8,8,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,366.6401,367.6388,367.6388,368.1386,368.1387,368.387,368.387,31,211,372.8034,space,4.4002,,372.8035,373.7728,space,0.9505,,0,9,9,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.7737,402.0224,space,28.2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0373,405.9394,right,3.8804,,405.9396,2,2,406.9398,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.9405,408.5708,left,1.6173,,408.5709,10,1,409.5728,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.5732,435.4233,left,25.8443,,435.4234,10,1,436.4232,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.4347,436.872,left,0.4313,,436.8721,7,1,437.8736,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.8741,440.6219,left,2.7332,,440.622,5,1,441.6213,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.6321,442.0405,right,0.4029,,442.0405,4,2,443.0399,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65961aa9477c6a68a5019b23,65af55e68504a42db6af7fb8,2024-01-23_14h01.23.499,bars,2023.2.3,MacIntel,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0404,443.5407,left,0.4822,,443.5407,1,1,444.5394,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
