init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,0.0004,12.7468,y,12.7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,12.7471,32.7294,space,19.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,32.7341,33.7281,33.7284,34.2295,34.23,34.4795,34.4799,118,118,46.5112,space,11.9873,,46.5113,93.7799,space,47.2395,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,93.7855,94.7766,94.7771,95.2683,95.2683,95.5093,95.5094,140,140,119.5604,space,24.0335,,119.5606,146.8596,space,27.2674,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,146.8675,147.8593,147.8594,148.359,148.3592,148.6093,148.6094,0,0,174.4926,space,25.8531,,174.4929,193.3759,space,18.8514,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,193.3824,194.3746,194.3747,194.8748,194.8749,195.1245,195.1245,0,180,204.6999,space,9.5508,,204.6999,211.9083,space,7.1838,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,211.9147,212.9069,212.9071,213.408,213.4082,213.6573,213.6574,165,165,248.1733,space,34.4867,,248.1735,250.8402,space,2.6345,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,250.8413,251.8397,251.8399,252.34,252.3402,252.5898,252.5899,34,34,256.1901,space,3.5677,,256.1905,257.6078,space,1.3847,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,257.6096,258.6059,258.6061,259.1063,259.1065,259.348,259.348,48,48,260.1734,space,0.8022,,260.1735,262.1896,space,1.9844,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,262.1907,263.1898,263.19,263.6897,263.6899,263.9394,263.9396,4,4,271.7231,space,7.7565,,271.7233,276.3062,space,4.5541,,0,7,7,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,276.3132,277.306,277.3061,277.8062,277.8064,278.0555,278.0556,56,56,285.8568,space,7.7681,,285.8569,287.706,space,1.8179,,0,8,8,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,287.7072,288.7055,288.7057,289.2053,289.2055,289.4554,289.4557,74,74,293.6723,space,4.1851,,293.6726,295.5718,space,1.8684,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.5741,314.4409,space,18.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.4473,321.6069,left,7.1341,,321.6073,9,1,322.6055,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.6073,329.1219,right,6.4847,,329.1221,1,2,330.1127,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.1179,335.9553,right,5.8189,,335.9555,2,2,336.9545,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.962,340.1627,left,3.1836,,340.1627,7,1,341.1544,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1612,343.8881,left,2.7034,,343.8885,5,1,344.8879,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8946,346.672,right,1.7514,,346.6723,4,2,347.6709,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.6721,348.8546,left,1.1514,,348.8548,1,1,349.8538,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.8547,350.6537,right,0.7728,,350.6538,1,2,351.6539,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.6552,354.9213,right,3.2347,,354.9216,0,2,355.9209,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.9278,357.0874,right,1.1359,,357.0876,3,2,358.0868,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0884,359.1039,left,0.9857,,359.1041,0,1,360.1033,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1043,360.6214,right,0.4849,,360.6215,3,2,361.6208,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.6223,362.0545,right,0.4017,,362.0546,6,2,363.0534,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0543,364.5794,right,1.5005,,364.5794,3,2,365.5704,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.5716,366.2544,left,0.651,,366.2545,2,1,367.2534,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.2544,367.6541,right,0.3677,,367.6543,9,2,368.6538,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.6549,369.271,right,0.5846,,369.2712,7,2,370.2704,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2715,370.9875,right,0.685,,370.9876,5,2,371.9865,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.9876,372.9875,right,0.9678,,372.9877,1,2,373.9866,0,18,18,18,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.9877,374.371,left,0.3521,,374.3712,7,1,375.3703,0,19,19,19,1,8,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.3723,394.7372,space,19.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,396.9919,397.9864,,,398.4865,398.736,,66,66,,,,,,,,,,,,,,,,bars/030.png,bars/mask007.png,,,,,,,,,,,,4,2,,,,,,,3,6,4,4,,,,,,394.7451,396.9875,space,2.2191,,397.9874,398.4863,398.737,407.6057,space,8.8362,,407.6062,74,1,408.6028,408.6031,421.5046,space,12.8681,,0,0,0,0,1,140,65,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,421.5103,422.5023,,,423.0025,423.2526,,128,128,,,,,,,,,,,,,,,,bars/034.png,bars/mask005.png,,,,,,,,,,,,1,1,,,,,,,1,4,1,2,,,,,,,,,,,422.5025,423.0023,423.2528,428.0859,space,4.8018,,428.0866,3,63,429.0857,429.0859,434.7279,space,5.6172,,0,1,1,1,1,125,65,,,,,,,,
,,617431af6e82b2ebd42a3d67,65af56b5a08a0d49e2f07b4e,2024-01-23_08h05.18.071,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,434.7326,435.7351,,,436.2357,436.4852,,60,-120,,,,,,,,,,,,,,,,bars/039.png,bars/mask003.png,,,,,,,,,,,,0,2,,,,,,,0,2,0,3,,,,,,,,,,,435.7354,436.2355,436.4853,442.2191,space,5.704,,442.2192,65,45,443.218,443.2182,444.427,space,1.1836,,0,2,2,2,1,175,105,,,,,,,,
